"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000007923",5.36494070432872,4.8423702445296,5.27899873930002,5.27652299774,5.15123274924914,5.08260876582474,5.3380017705008,4.98452029358744,4.73424342537338,5.49003657874682,3.45014274874969,3.54330288284457,3.14296337174647,3.69217209786611,3.793806412918,3.03047171510392,3.43674997467353,3.31886075479895,3.51556925974607,4.05923117041827,2.74905913609193
"ENSG00000171735",5.35651618380071,5.77024451070626,4.90065350726277,4.76224979269194,5.09293410868447,5.52302733008829,5.1866825808566,4.76906058641288,5.79262992685242,4.82818318419231,4.96951690784327,5.12826538356573,4.80007565822346,4.91456451920256,4.43535244200552,5.05431845705829,4.73931274469396,5.02668000330564,4.8181320297665,4.96193396906335,5.30705458921282
"ENSG00000049245",6.90583717225524,5.99446713824391,6.39792784069242,5.90628259045301,6.53350670007045,6.84193316880943,6.57323639312284,5.57336921778115,6.92013783296691,5.65517597028932,5.84703290131827,5.95358685215278,5.8175630849523,5.67489410643428,5.77930684322288,5.83782663716153,5.71968393794503,5.98182576752138,5.58595858763747,5.4183122637231,6.26563466183283
"ENSG00000049247",4.74490543669393,4.17737139364226,4.27733377080491,5.96740035908361,0.97106856330199,4.16507092601671,4.06549623433654,3.98618718579008,4.90613912968554,4.32196379869243,3.00268377177847,3.68769279217975,2.90195527224268,3.82341663114437,3.39787773658686,2.8240208376365,3.7777868925086,3.80428758196919,3.51556925974607,-0.464330785638745,-0.420865865350384
"ENSG00000116288",7.59406736089343,7.75363170056263,7.78501856530929,7.91406541358252,7.63949902658502,7.85441293527447,7.7758174639916,7.68508830260415,8.13486778960066,7.58853396866826,6.94413158942335,7.07016242900216,6.84340308988756,6.71770718997325,7.06283955937323,6.74563293895178,6.40022409864842,6.92766999747447,6.42885762655274,6.56909221589871,6.9800135709318
"ENSG00000142599",4.55179921281797,4.67549063441566,5.22128324144374,4.42600389641522,4.57745004765805,4.77016012658978,4.58452446487292,5.29539833181987,4.81797277496688,4.76586440779617,7.26435134184835,7.37752441075486,7.47042965017526,7.1390584631843,7.31485714981896,7.42278913788268,7.2509585677722,7.53609147101962,7.46042770555361,7.3748730024582,6.99698664953551
"ENSG00000074800",9.71422273804927,9.80621712840527,9.92976064872003,9.34933528152138,10.154481274743,9.87282671891252,9.54850858271974,9.77624404483516,10.1680360176775,9.41207010484062,8.45913153197694,8.03346762902147,8.17384268463044,8.38996709475164,8.02953347275605,8.43873068175171,8.02571440595218,8.12277659288978,7.90788668252483,8.32683210291627,8.50097507172411
"ENSG00000049239",5.12812648871111,5.42920759287119,6.20823496099145,5.18551205923252,6.11297918857471,5.22727734911112,5.06301524483279,5.86005038389853,5.69960168445589,5.99105342810067,6.11310776147212,5.89528821158811,5.78237365649,5.83901348619538,5.99544027408765,5.89176544427233,5.90489881041194,6.01188300137756,5.58595858763747,5.20809455633275,6.32060112105076
"ENSG00000171612",4.22154518564122,3.69432230914603,3.63285272212738,3.62714376852307,3.89023748868895,4.1087084833976,3.34822644151126,2.69556952114635,4.1172339596876,3.44025753053071,2.71317715458348,1.61730346428835,2.24987857566298,3.69217209786611,3.793806412918,1.93093604155301,1.11482187978617,2.58189516063274,3.06811028277485,3.62313205561159,1.16409663537077
"ENSG00000171608",7.35281493006227,8.06710584494357,7.83227703205539,7.5925590976898,7.95391591643423,6.94853962295677,7.80357688333674,8.19140196940964,7.73456032708599,8.21815285211465,8.10930619131226,7.89900171438718,8.08276858982773,8.09101756364237,7.93458506870079,8.27586596180199,8.27469321656456,7.73839964631273,7.94406901883148,7.88881603985934,8.00958668631515
