"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000151718",4.19127982983221,3.52512279455922,2.7044808009209,2.08716383060083,1.78469293305148,2.3757136001284,2.95951118662927,1.69844334240582,3.92910629322932,3.90672610211755,2.40625221098017,2.91900236609058,3.97082172275146,3.60524589100092,2.94810856254292,3.66419529088299,2.95209969838458,3.02808207172678,1.86143772628656,2.29944895985575,3.45254022270344
"ENSG00000168564",5.80450362952806,5.44123004811054,5.44280307291901,5.62854139897665,5.68431694279756,5.17738254154466,5.31466387660778,5.69446171536981,5.20010858203611,5.75787961801399,6.07044499696903,5.88523646655991,5.56995154808117,4.97268664308336,5.38651760083863,5.39866373535338,5.68115276905255,4.99355407485322,5.47094551449213,4.78153209005621,5.4803175328303
"ENSG00000168556",4.06293042624995,3.8306578671514,3.87524597488959,3.38168801172532,3.00853459231231,3.46947618945448,2.91542551700419,3.32755975578754,4.13022739117368,3.21082506849585,3.72450530195407,3.08346672651996,3.54609083385016,4.18269310113478,3.67321831847073,3.77583163481522,3.08755339766553,4.0050027184697,2.73339545071451,3.88338745472236,4.27693359092557
"ENSG00000182552",3.30889960583118,3.75614984306213,3.80953032522896,3.77632612155779,3.92693963342582,3.64287210049314,3.71854238433699,3.64156235324521,3.66620848832076,3.70557703602779,3.81786479235093,3.83080372201029,3.55059049693114,4.32714939766546,3.79385797996107,4.03230954986146,2.78300416457283,4.01921180823709,3.64627872090586,3.83143913874949,3.32618255372274
"ENSG00000168538",5.82036519460813,5.50086600443477,5.52526114368596,5.85295487124723,5.57103924375651,5.44369498642141,5.28795222726015,5.51807513575512,5.43091225807492,6.04003291589046,5.76973144470767,5.66877817904093,5.02817276034647,5.67951922230631,5.89939356927603,5.35672808921335,5.39758698290534,5.44096843065429,5.68954843519859,5.69122229848561,5.4659453440888
"ENSG00000168310",6.00891077284711,6.92829311402241,6.55512382713655,7.29912324917263,6.3543221795078,6.45099555285641,7.20438629590473,7.00691760628544,5.82505225088082,6.91804072207727,6.77560826372216,6.37755130109675,6.92260768278265,6.66609833318608,6.75570708448535,6.99478473852104,6.62614086494255,6.7773552578311,6.51075501309307,6.18200165339537,6.72114676458808
"ENSG00000164305",4.81034824646311,5.6913400798131,4.97303911410794,6.58871735387972,5.38301409571999,5.55161644265188,5.26169060133647,5.33975426373682,5.20438916063107,5.61517711642951,5.88914849569669,5.62419002518502,5.5139171145592,5.20241204218074,5.53490159651807,4.52863045907782,5.78571900367715,5.61361543373974,5.16693528555135,5.09535293575744,5.55274538678518
"ENSG00000151726",6.79894337261294,5.90837067211655,5.94336546720571,3.94251350067216,6.27760872622933,5.57712007899049,6.07894809001552,4.34842180609643,6.64293302633023,5.4172210949282,5.09227421623633,6.30832548178093,5.00235981804022,5.36490305810033,6.08576434562745,5.39375472215742,5.24913751256133,5.72472269749361,6.27541378076361,6.55025689452191,5.2223766059294
"ENSG00000151729",3.24999249586418,3.18766800811378,3.07785047620466,4.11310455281798,3.14980114754841,3.24299184555212,3.15279592378273,3.19971589652418,2.19273111727556,3.85751263815982,3.84172056535101,2.28321833688921,3.34431960605315,1.65589731687553,2.84336999103014,3.06269747664385,4.39091077950344,1.9018682973157,4.38952268962176,2.56938148791916,4.00418063531809
"ENSG00000164323",6.245262686186,5.89881487503373,6.67013127255622,7.27955469331834,6.47033303938512,6.25508109105099,7.00895390301767,6.6554560879898,6.4129483932621,6.58819128549483,6.39954290758954,6.58378958502216,6.82761319287786,6.27968091961795,6.49190969009529,6.50996526092313,6.32193839797706,6.71540774907603,6.82174325753261,6.58119798939764,6.57115994411236
"ENSG00000109762",4.11082277800518,3.52935110720923,3.44887053879507,4.56147915779986,3.47946473159976,2.69664736322104,3.5264844370984,3.44841249654666,2.5551928831006,3.69389621673073,2.97469838348502,4.08864091745697,3.16310191988014,2.627500666207,3.0217652873748,1.99101916793465,3.82856925006884,4.38733178350469,3.96219731049783,3.48020819687974,3.41626106845236
"ENSG00000109775",4.23505189417498,4.42556449823766,4.23246816201181,5.30936544113685,4.32404063210328,3.95441956481805,4.3527446202163,4.7113338203876,3.76019125019716,4.40702440390291,4.85119318767678,4.10383887004786,4.27688113282934,4.1280085933139,4.37496372656445,4.1370920685902,4.12855319036565,4.53470800134451,5.14364773707259,3.63296866721483,3.95373801708304
"ENSG00000145476",4.81216168343204,5.06652499788764,4.76978003127628,5.10812580616386,4.8509260041365,4.27217789669225,5.04495416755288,4.66652832185108,3.63429073559947,4.82877067765221,5.05476560622245,4.63377833726292,5.48091670026716,4.61308781524382,3.7618164187285,4.6428435011695,4.71366002952039,5.18473028306228,4.02700207019197,5.25727035250263,4.23580098135375
"ENSG00000109536",4.78668690102697,4.77974357724398,4.78007067208263,5.10644433852748,4.71053400907605,4.73786545760789,4.73426940170451,4.67367311738814,4.96082444949403,4.45604841978026,4.9851813653733,4.51698903226761,4.95352785110617,4.60334293587111,4.96202774341976,4.78755074170386,4.63589838665691,4.84517221016564,4.59285798373204,5.05515676180365,5.08000049333484
