"","Patient10_2T","Patient1_2T","Patient2_2T","Patient3_5T","Patient4_3T","Patient5_3T","Patient6_4T","Patient7_2T","Patient8_1T","Patient9_1T","SRR17386548","SRR17386549","SRR17386550","SRR17386551","SRR17386552","SRR17386553","SRR17386554","SRR17386555","SRR17386556","SRR17386557","SRR17386558"
"ENSG00000157933",1.59163620808046,2.99018396943045,2.69547758241061,1.44455658911468,3.17121297744675,2.077015425495,1.58993561391147,3.38082188220405,3.62986413584505,3.1322550946623,6.53194311995811,6.24304121295606,6.39047165876321,6.5192296060295,7.0684496772024,6.68154659746214,6.77990441110641,6.5676737838528,6.56559823081906,6.56533005975834,6.14824373763939
"ENSG00000157916",6.55818972498732,7.00287431550187,7.00674186458482,7.16358716934618,7.025791023543,6.97249431844449,6.93243589054658,7.28995617195203,7.12859975278917,6.98344970117629,5.99257748567707,5.55116350831839,6.01607614398171,5.55291273228579,5.41133739072541,5.97998633942714,5.95850171456317,5.62609047007812,5.46606255726815,5.99973288390412,6.21778467089247
"ENSG00000157873",4.97936636136357,5.20879475022447,5.21758005929319,4.88557057412224,4.94095843833733,4.76733092636238,4.89643366822922,5.15491668815358,5.3428916753545,5.30691490521464,2.57111371723879,1.1137581960111,-0.323773858902912,1.11550741997849,0.973932078418109,0.935592220068683,-0.231322844316842,1.23377304729936,1.43631521387409,-0.229085806591765,1.39335623547592
"ENSG00000162591",4.85800632647751,5.22171931631396,5.37599384615863,3.76648468400204,5.33415154857296,3.94670740314927,3.82324932162526,5.50833954541077,2.75234814237004,5.28788171305204,2.57111371723879,4.05235765134695,4.1997880971541,3.9228623420361,5.17032929122161,3.05106943748862,3.22810877432046,4.17237250263522,3.31078433179024,5.12846619802632,4.33195569081178
"ENSG00000158109",4.78978108317023,5.47480127911519,5.14163120605989,4.75638409403307,5.44206688773984,4.7344475645486,4.78689082132293,5.58099058240733,5.19026953232222,5.12154461458029,6.70627330052043,6.15815231536955,5.98000688927419,6.35072388167252,6.04718106044875,6.60801756204018,6.21162065153189,6.36305606424433,6.19120271603756,6.34076980173918,6.18343316610169
"ENSG00000116213",5.46391776675884,5.92944009070431,5.67435429084485,5.8175734559345,5.65247340484658,5.2585517173076,5.80518460586327,5.85194353694964,5.3204368245268,6.15659156167949,4.2873207512382,3.77672320873353,4.53420713622466,5.25846537382054,5.00367942181216,3.87419167540454,5.26053025201283,3.89673806002179,3.55179243129403,4.62889518853581,3.8958565760051
"ENSG00000130764",5.02162404882527,5.84842540233125,5.81995961309175,5.37364293083739,5.71220133699132,5.19350116797585,5.4468577502459,5.49802532781784,5.63745329085673,5.73278385277292,6.94366788519612,6.39916041487334,7.22312060098472,6.67009627165613,6.71988645581157,6.85047560643073,6.56309302203326,6.788361898977,6.59281969955409,6.91046554580703,6.65388378569914
"ENSG00000116198",5.61351070770322,5.74926170120495,5.49321450190661,5.52806683873952,5.50740764140716,4.854076425239,5.13600910123903,5.2316228616357,5.38317257987476,5.72431399454592,6.30291760628922,6.54002295071319,6.75304173814792,6.67009627165613,6.62737431702203,7.00168141052646,6.86670923864368,6.36305606424433,6.8400373999251,6.37082703559536,6.72725697202936
"ENSG00000169598",4.45292993724887,4.08871217433645,3.3637304264928,3.96665906599726,4.35993235217535,4.2085450482003,3.74270589431471,3.34674088696094,3.01724529222102,3.72572909523897,4.40761498495591,3.77672320873353,4.32008233087181,3.43743551486586,4.14385707986042,4.56008308497648,4.41253334545788,5.00636255119629,4.37491466920995,4.41477038318296,4.05632124819835
"ENSG00000198912",5.83618504306908,5.67837018787916,5.65435621759953,5.50412114311448,5.13261773213417,5.23523492628503,5.75473558317591,4.90071814210524,6.08208365119849,5.20508140799953,4.97321216081014,4.38677669041751,5.03377814571517,4.6598279362023,4.14385707986042,5.28136705691041,5.19494191038526,4.93421276544046,4.2436701359317,4.72511050379511,4.33195569081178
"ENSG00000069424",5.98395363085922,7.12485219248224,6.99883357126155,6.28858716088462,7.23100247220491,6.3468646528851,6.43942389847506,7.30038085244438,7.02594498717141,7.38018260810588,7.31065325506882,7.09103811951101,7.58911547732705,7.31844747864877,7.05430549488213,7.22714666591253,7.39072897513953,7.21105297079928,7.26920522803884,7.23851974349123,7.66014277617082
"ENSG00000116251",6.00517011676892,5.33310799680978,6.00279313669008,5.24951301512376,5.69048293697791,5.60171740139868,5.62218655019565,5.65944308283984,5.57242813074884,5.85161353572207,7.68857129878697,7.51178926998425,7.12743725292942,6.94839743414324,7.56389526019763,7.52555540184821,6.88761822840667,6.99753870080929,7.62613977275411,7.04703859868247,7.25960484658709
"ENSG00000116237",4.83110214277585,5.34792019099839,5.11261049969164,5.5121472836534,5.281165266943,4.83868753222558,5.43409045417202,5.54637413066194,4.07651124164071,5.47788997951857,3.85122163643153,4.05235765134695,4.1997880971541,4.6598279362023,4.24695057282452,4.105517221511,3.8561399969335,4.04112796935697,3.93881555440328,3.23034581204553,4.05632124819835
"ENSG00000215788",5.93741104492219,6.50749264644279,6.65075577889309,6.39441722368875,6.58932748137234,5.52206790475912,6.44155176765268,7.15860487518369,5.30907696236225,6.8779443341209,-0.236241204818814,-0.47120430471006,2.48358106315469,1.11550741997849,0.973932078418109,2.15798464140513,1.35363965640431,2.81873554802052,1.43631521387409,2.57826911546584,1.39335623547592
"ENSG00000162408",5.60559466567038,5.17264332461653,5.34067519026513,5.41703552635077,5.48234779226011,5.15052409523057,5.52519472267313,5.29555018842525,5.66147374236187,5.76342138531092,5.9535833540612,6.44765893256453,6.18402078129578,6.5192296060295,6.58864192253332,6.58903445867261,6.5101441420843,6.54362830988615,6.50956419590473,6.9900827138704,6.60280960110487
"ENSG00000204859",4.97936636136357,5.40001915346724,5.25978957382188,4.53004448817996,5.29356673334276,5.08681860052536,5.16205123507702,5.17123694183994,4.73830036788441,5.86708494448451,3.6706493907897,2.33615061734754,3.37666585923818,2.33789984131494,4.43336369705541,4.105517221511,2.93860215712547,3.89673806002179,4.2436701359317,4.01884170685182,3.71528433036328
