"10","11","1285","2268","3371"
"RINT1","PURB",NA,NA,NA
"TFEC","TBRG4",NA,NA,NA
"ARF5","BAZ1B",NA,NA,NA
"METTL2B","HIP1",NA,NA,NA
"KLHDC10","FGL2",NA,NA,NA
"AKR1B1","BRI3",NA,NA,NA
"NUP205","MCM7",NA,NA,NA
"MTPN","TAF6",NA,NA,NA
"PDIA4","LRCH4",NA,NA,NA
"ATP6V0E2","GIGYF1",NA,NA,NA
"ABCB8","LRWD1",NA,NA,NA
"CHPF2","RINT1",NA,NA,NA
"MFHAS1","TFEC",NA,NA,NA
"PPP3CC","ARF5",NA,NA,NA
"CCAR2","AHCYL2",NA,NA,NA
"CHMP7","ZC3HC1",NA,NA,NA
"PPP2R2A","KLHDC10",NA,NA,NA
"EPHX2","AKR1B1",NA,NA,NA
"INTS9","NUP205",NA,NA,NA
"SARAF","MTPN",NA,NA,NA
"RAB11FIP1","PDIA4",NA,NA,NA
"TACC1","ATP6V0E2",NA,NA,NA
"MTDH","GIMAP2",NA,NA,NA
"TRPS1","ABCB8",NA,NA,NA
"SNTB1","CHPF2",NA,NA,NA
"ZHX2","NOM1",NA,NA,NA
"FAM91A1","MFHAS1",NA,NA,NA
"TMEM65","PPP3CC",NA,NA,NA
"ASAP1","CHMP7",NA,NA,NA
"AGO2","PPP2R2A",NA,NA,NA
"THEM6","EPHX2",NA,NA,NA
"LY6E","INTS9",NA,NA,NA
"GSDMD","SARAF",NA,NA,NA
"EEF1D","RAB11FIP1",NA,NA,NA
"SHARPIN","TACC1",NA,NA,NA
"HGH1","MRPL15",NA,NA,NA
"BOP1","RPS20",NA,NA,NA
"FBXL6","COPS5",NA,NA,NA
"ADCK5","TPD52",NA,NA,NA
"JAK2","MTDH",NA,NA,NA
"UBAP2","TRPS1",NA,NA,NA
"CD72","ZHX2",NA,NA,NA
"OSTF1","FAM91A1",NA,NA,NA
"SEMA4D","TMEM65",NA,NA,NA
"PHF2","ASAP1",NA,NA,NA
"ANP32B","AGO2",NA,NA,NA
"ABCA1","THEM6",NA,NA,NA
"PHF19","LY6E",NA,NA,NA
"SCAI","GSDMD",NA,NA,NA
"EEIG1","EEF1D",NA,NA,NA
"SPTAN1","HGH1",NA,NA,NA
"ZDHHC12","BOP1",NA,NA,NA
"ZER1","FBXL6",NA,NA,NA
"TBC1D13","ADCK5",NA,NA,NA
"GTF3C5","JAK2",NA,NA,NA
"BRD3OS","APTX",NA,NA,NA
"BRD3","CD72",NA,NA,NA
"RXRA","OSTF1",NA,NA,NA
"MRPS2","S1PR3",NA,NA,NA
"TRAF2","PHF2",NA,NA,NA
"PFKP","ANP32B",NA,NA,NA
"PITRM1","ABCA1",NA,NA,NA
"AKR1C3","PHF19",NA,NA,NA
"FBH1","SCAI",NA,NA,NA
"ATP5F1C","EEIG1",NA,NA,NA
"VIM","SPTAN1",NA,NA,NA
"ZNF438","ZDHHC12",NA,NA,NA
"EPC1","ZER1",NA,NA,NA
"IPMK","TBC1D13",NA,NA,NA
