"10","11","1285","2268","3371"
"ZBTB18","SMYD3","AKT2","CST7","MGME1"
"SMYD3","CNST","HNRNPUL1","ZMYND8","STAU1"
"CNST","ZNF496","PPP5C","TIAM1","TIAM1"
"ZNF496","ZNF672","KDELR1","OSM","PRDM15"
"ZNF672","TRAPPC12","GYS1","RPS6KA3","OSM"
"TRAPPC12","RNASEH1","ZNF324","PBDC1","HMOX1"
"RNASEH1","ADAM17","ZMYND8","CYSLTR1","SREBF2"
"ADAM17","DNMT3A","SETD4","RBMX","DYNLT3"
"DNMT3A","DTNB","HLCS",NA,"VSIG4"
"DTNB","HADHB","OSM",NA,"CYSLTR1"
"HADHB","SELENOI","IL2RB",NA,"TCEAL8"
"PREB","PREB","CYTH4",NA,"FMR1"
"SLC5A6","SLC5A6","CBX6",NA,NA
"ATRAID","ATRAID","RRP7A",NA,NA
"SNX17","SNX17","PRR5",NA,NA
"BABAM2","IFT172","SH3KBP1",NA,NA
"NLRC4","ZNF512","DYNLT3",NA,NA
"YIPF4","BABAM2","CYSLTR1",NA,NA
"TTC27","LCLAT1","TRMT2B",NA,NA
"CRIM1","NLRC4","UBE2A",NA,NA
"FEZ2","TTC27",NA,NA,NA
"STRN","CRIM1",NA,NA,NA
"HEATR5B","FEZ2",NA,NA,NA
"CEBPZOS","STRN",NA,NA,NA
"CDC42EP3","HEATR5B",NA,NA,NA
"CYP1B1","CEBPZOS",NA,NA,NA
"ZFP36L2","CDC42EP3",NA,NA,NA
"RHOQ","CYP1B1",NA,NA,NA
"MSH2","ZFP36L2",NA,NA,NA
"SPTBN1","RHOQ",NA,NA,NA
"CCDC88A","MSH2",NA,NA,NA
"REL","SPTBN1",NA,NA,NA
"CCT4","CCDC88A",NA,NA,NA
"UGP2","REL",NA,NA,NA
"APLF","CCT4",NA,NA,NA
"TEX261","UGP2",NA,NA,NA
"PRADC1","CEP68",NA,NA,NA
"CCT7","APLF",NA,NA,NA
"HTRA2","TEX261",NA,NA,NA
"HK2","PRADC1",NA,NA,NA
"KCMF1","CCT7",NA,NA,NA
"ELMOD3","HTRA2",NA,NA,NA
"MAT2A","HK2",NA,NA,NA
"USP39","KCMF1",NA,NA,NA
"CD8B","ELMOD3",NA,NA,NA
"DUSP2","MAT2A",NA,NA,NA
"SNRNP200","USP39",NA,NA,NA
"ZAP70","CD8B",NA,NA,NA
"AFF3","DUSP2",NA,NA,NA
"IL18RAP","SNRNP200",NA,NA,NA
"ANAPC1","ZAP70",NA,NA,NA
"ZC3H6","MGAT4A",NA,NA,NA
"IL1RN","TXNDC9",NA,NA,NA
"MARCO","AFF3",NA,NA,NA
"ERCC3","IL18RAP",NA,NA,NA
"MAP3K2","ANAPC1",NA,NA,NA
"AMMECR1L","ZC3H6",NA,NA,NA
"SMPD4","IL1RN",NA,NA,NA
"CCDC115","MARCO",NA,NA,NA
"CXCR4","TSN",NA,NA,NA
"ARHGAP15","ERCC3",NA,NA,NA
"ZEB2","MAP3K2",NA,NA,NA
"EPC2","AMMECR1L",NA,NA,NA
"RBM43","SMPD4",NA,NA,NA
"NMI","CCDC115",NA,NA,NA
"RIF1","CXCR4",NA,NA,NA
"PKP4","ARHGAP15",NA,NA,NA
"BAZ2B","ZEB2",NA,NA,NA
"DPP4","ACVR2A",NA,NA,NA
"GALNT3","EPC2",NA,NA,NA
"METTL5","RBM43",NA,NA,NA
"GORASP2","RIF1",NA,NA,NA
"METTL8","PKP4",NA,NA,NA
"DYNC1I2","BAZ2B",NA,NA,NA
"ITGA6","DPP4",NA,NA,NA
"MAP3K20","GALNT3",NA,NA,NA
"CIR1","METTL5",NA,NA,NA
"HNRNPA3","GORASP2",NA,NA,NA
"CWC22","METTL8",NA,NA,NA
"ZC3H15","DYNC1I2",NA,NA,NA
"MFSD6","ITGA6",NA,NA,NA
"STAT4","MAP3K20",NA,NA,NA
"SF3B1","CIR1",NA,NA,NA
"C2orf69","ZC3H15",NA,NA,NA
"TYW5","MFSD6",NA,NA,NA
"SPATS2L","STAT4",NA,NA,NA
"CFLAR","SF3B1",NA,NA,NA
"NBEAL1","TYW5",NA,NA,NA
"CYP20A1","SPATS2L",NA,NA,NA
"RPL37A","CFLAR",NA,NA,NA
"TMBIM1","NBEAL1",NA,NA,NA
"BCS1L","CYP20A1",NA,NA,NA
"ZFAND2B","RPL37A",NA,NA,NA
"ATG9A","TMBIM1",NA,NA,NA
"ANKZF1","BCS1L",NA,NA,NA
"DNPEP","ZFAND2B",NA,NA,NA
"MRPL44","ATG9A",NA,NA,NA
"PID1","ANKZF1",NA,NA,NA
"SP110","DNPEP",NA,NA,NA
"PDE6D","MRPL44",NA,NA,NA
"EIF4E2","PID1",NA,NA,NA
"GIGYF2","SP110",NA,NA,NA
"INPP5D","PTMA",NA,NA,NA
"ATG16L1","PDE6D",NA,NA,NA
"ILKAP","EIF4E2",NA,NA,NA
"MTERF4","GIGYF2",NA,NA,NA
"SEPTIN2","ATG16L1",NA,NA,NA
"ATG4B","ARL4C",NA,NA,NA
"DTYMK","ILKAP",NA,NA,NA
"SETD5","NDUFA10",NA,NA,NA
"TADA3","MTERF4",NA,NA,NA
"ARPC4","SEPTIN2",NA,NA,NA
