"10","11","1285","2268","3371"
"DDX28","CLEC16A",NA,NA,NA
"SLC7A6","TXNDC11",NA,NA,NA
"PRMT7","MRTFB",NA,NA,NA
"TANGO6","PDXDC1",NA,NA,NA
"UTP4","RPS15A",NA,NA,NA
"SNTB2","ARL6IP1",NA,NA,NA
"NFAT5","CCP110",NA,NA,NA
"WWP2","THUMPD1",NA,NA,NA
"AARS1","MOSMO",NA,NA,NA
"DDX19A","CDR2",NA,NA,NA
"ST3GAL2","TNRC6A",NA,NA,NA
"ZFHX3","APOBR",NA,NA,NA
"WWOX","SPN",NA,NA,NA
"CMIP","C16orf54",NA,NA,NA
"PLCG2","KIF22",NA,NA,NA
"MPHOSPH6","PPP4C",NA,NA,NA
"HSDL1","CD2BP2",NA,NA,NA
"IRF8","SEPTIN1",NA,NA,NA
"FBXO31","PHKG2",NA,NA,NA
"CYBA","RNF40",NA,NA,NA
"MVD","FUS",NA,NA,NA
"RNF166","CNEP1R1",NA,NA,NA
"PIEZO1","AKTIP",NA,NA,NA
"ANKRD11","NLRC5",NA,NA,NA
"CDK10","POLR2C",NA,NA,NA
"ZNF276","ADGRG5",NA,NA,NA
"TCF25","ADGRG1",NA,NA,NA
"RFLNB","KATNB1",NA,NA,NA
"GLOD4","ZNF319",NA,NA,NA
"ABR","USB1",NA,NA,NA
"INPP5K","CFAP20",NA,NA,NA
"RPA1","CNOT1",NA,NA,NA
"MNT","GOT2",NA,NA,NA
"RAP1GAP2","DYNC1LI2",NA,NA,NA
"ATP2A3","TRADD",NA,NA,NA
"MYBBP1A","E2F4",NA,NA,NA
"ARRB2","FHOD1",NA,NA,NA
"SLC25A11","CARMIL2",NA,NA,NA
"PFN1","ACD",NA,NA,NA
"RABEP1","RANBP10",NA,NA,NA
"C1QBP","CENPT",NA,NA,NA
"DLG4","THAP11",NA,NA,NA
"ACADVL","EDC4",NA,NA,NA
"ELP5","PSMB10",NA,NA,NA
"ACAP1","DPEP2",NA,NA,NA
"MPDU1","DDX28",NA,NA,NA
"KDM6B","SLC7A6",NA,NA,NA
"CHD3","PRMT7",NA,NA,NA
"BORCS6","TANGO6",NA,NA,NA
"CTC1","UTP4",NA,NA,NA
"NDEL1","SNTB2",NA,NA,NA
"ADPRM","NFAT5",NA,NA,NA
"ELAC2","WWP2",NA,NA,NA
"COX10","AARS1",NA,NA,NA
"TRPV2","DDX19B",NA,NA,NA
"ZNF287","ST3GAL2",NA,NA,NA
"DRG2","ZFHX3",NA,NA,NA
"PRPSAP2","ZFP1",NA,NA,NA
"ALDH3A2","WWOX",NA,NA,NA
"WSB1","CMIP",NA,NA,NA
"LGALS9","PLCG2",NA,NA,NA
"BLTP2","MPHOSPH6",NA,NA,NA
"RPL23A","HSDL1",NA,NA,NA
"ERAL1","FBXO31",NA,NA,NA
"NUFIP2","CYBA",NA,NA,NA
"ABHD15","MVD",NA,NA,NA
"GOSR1","RNF166",NA,NA,NA
"NF1","PIEZO1",NA,NA,NA
"EVI2B","CBFA2T3",NA,NA,NA
"EVI2A","ANKRD11",NA,NA,NA
"ZNF207","CDK10",NA,NA,NA
"SLFN12","ZNF276",NA,NA,NA
"SLFN12L","TCF25",NA,NA,NA
"TAF15","RFLNB",NA,NA,NA
"CCL5","GLOD4",NA,NA,NA
"CCL4","ABR",NA,NA,NA
"AATF","INPP5K",NA,NA,NA
"CWC25","RPA1",NA,NA,NA
"RPL23","MNT",NA,NA,NA
"LASP1","ATP2A3",NA,NA,NA
"PLXDC1","MYBBP1A",NA,NA,NA
"RPL19","PELP1",NA,NA,NA
"CDK12","ARRB2",NA,NA,NA
"MSL1","SLC25A11",NA,NA,NA
"WIPF2","PFN1",NA,NA,NA
"TOP2A","C1QBP",NA,NA,NA
"CCR7","MIS12",NA,NA,NA
"NT5C3B","DLG4",NA,NA,NA
"ACLY","ACADVL",NA,NA,NA
"NAGLU","CTDNEP1",NA,NA,NA
"NBR1","ELP5",NA,NA,NA
"EFTUD2","ACAP1",NA,NA,NA
"CDC27","MPDU1",NA,NA,NA
"KPNB1","KDM6B",NA,NA,NA
"SCRN2","CHD3",NA,NA,NA
"CBX1","BORCS6",NA,NA,NA
"SKAP1","CTC1",NA,NA,NA
"ABI3","NDEL1",NA,NA,NA
"PHB1","ADPRM",NA,NA,NA
"RSAD1","ELAC2",NA,NA,NA
"LUC7L3","COX10",NA,NA,NA
"SPAG9","TRPV2",NA,NA,NA
"UTP18","ZNF287",NA,NA,NA
"COX11","MPRIP",NA,NA,NA
"TRIM25","DRG2",NA,NA,NA
"MSI2","PRPSAP2",NA,NA,NA
"SRSF1","WSB1",NA,NA,NA
"DYNLL2","LGALS9",NA,NA,NA
"SMG8","RPL23A",NA,NA,NA
"VMP1","ERAL1",NA,NA,NA
"BCAS3","NUFIP2",NA,NA,NA
"TLK2","ABHD15",NA,NA,NA
"CYB561","NF1",NA,NA,NA
"DCAF7","EVI2B",NA,NA,NA
"CD79B","EVI2A",NA,NA,NA
"ICAM2","SLFN12",NA,NA,NA
"MILR1","SLFN12L",NA,NA,NA
"DDX5","TAF15",NA,NA,NA
"PITPNC1","CCL5",NA,NA,NA
"SLC16A6","CCL4",NA,NA,NA
"MAP2K6","AATF",NA,NA,NA
"RPL38","CWC25",NA,NA,NA
"RAB37","RPL23",NA,NA,NA
"NT5C","LASP1",NA,NA,NA
"NUP85","PLXDC1",NA,NA,NA
"GGA3","RPL19",NA,NA,NA
"MRPS7","CDK12",NA,NA,NA
"TMEM94","MSL1",NA,NA,NA
"LLGL2","WIPF2",NA,NA,NA
"TRIM65","RARA",NA,NA,NA
"ACOX1","TOP2A",NA,NA,NA
"EXOC7","CCR7",NA,NA,NA
"UBALD2","NT5C3B",NA,NA,NA
"RHBDF2","ACLY",NA,NA,NA
"METTL23","NAGLU",NA,NA,NA
"TNRC6C","COA3",NA,NA,NA
"CYTH1","NBR1",NA,NA,NA
"TIMP2","EFTUD2",NA,NA,NA
"SGSH","CDC27",NA,NA,NA
"NPLOC4","KPNB1",NA,NA,NA
"OXLD1","SCRN2",NA,NA,NA
"P4HB","CBX1",NA,NA,NA
"ARHGDIA","SKAP1",NA,NA,NA
"MAFG","PHB1",NA,NA,NA
"DCXR","RSAD1",NA,NA,NA
"GPS1","ANKRD40",NA,NA,NA
"SECTM1","LUC7L3",NA,NA,NA
"NARF","SPAG9",NA,NA,NA
"FN3KRP","UTP18",NA,NA,NA
"TBCD","COX11",NA,NA,NA
"TGIF1","TRIM25",NA,NA,NA
"MPPE1","MSI2",NA,NA,NA
"AFG3L2","DYNLL2",NA,NA,NA
"MIB1","SMG8",NA,NA,NA
"RBBP8","VMP1",NA,NA,NA
"TAF4B","RNFT1",NA,NA,NA
"RNF125","BCAS3",NA,NA,NA
"RNF138","TLK2",NA,NA,NA
"ZNF397","CYB561",NA,NA,NA
"ELP2","DCAF7",NA,NA,NA
"KIAA1328","CD79B",NA,NA,NA
"ATP5F1A","ICAM2",NA,NA,NA
"CXXC1","MILR1",NA,NA,NA
"MBD2","DDX5",NA,NA,NA
"LMAN1","PITPNC1",NA,NA,NA
"PMAIP1","KPNA2",NA,NA,NA
"ZCCHC2","SLC16A6",NA,NA,NA
"CNDP2","MAP2K6",NA,NA,NA
"TSHZ1","RPL38",NA,NA,NA
"NFATC1","RAB37",NA,NA,NA
"GZMM","NT5C",NA,NA,NA
"MED16","NUP85",NA,NA,NA
"ARID3A","MRPS7",NA,NA,NA
"TMEM259","TMEM94",NA,NA,NA
"ABCA7","LLGL2",NA,NA,NA
"ARHGAP45","EXOC7",NA,NA,NA
"ATP5F1D","UBALD2",NA,NA,NA
"SPPL2B","RHBDF2",NA,NA,NA
"LMNB2","METTL23",NA,NA,NA
"SLC39A3","TNRC6C",NA,NA,NA
"SGTA","CYTH1",NA,NA,NA
"THOP1","TIMP2",NA,NA,NA
"S1PR4","SGSH",NA,NA,NA
"NFIC","OXLD1",NA,NA,NA
"CACTIN","P4HB",NA,NA,NA
"MATK","ARHGDIA",NA,NA,NA
"ZBTB7A","MAFG",NA,NA,NA
"SAFB","DCXR",NA,NA,NA
"MICOS13","SLC16A3",NA,NA,NA
"DUS3L","SECTM1",NA,NA,NA
"CLPP","NARF",NA,NA,NA
"DENND1C","FN3KRP",NA,NA,NA
"TNFSF14","TBCD",NA,NA,NA
"GPR108","THOC1",NA,NA,NA
"ARHGEF18","MYL12A",NA,NA,NA
"MCOLN1","TGIF1",NA,NA,NA
"FCER2","RALBP1",NA,NA,NA
"ZNF558","MPPE1",NA,NA,NA
"EIF3G","AFG3L2",NA,NA,NA
"CDC37","SEH1L",NA,NA,NA
"S1PR5","ABHD3",NA,NA,NA
"ATG4D","MIB1",NA,NA,NA
"KRI1","RBBP8",NA,NA,NA
"SLC44A2","NPC1",NA,NA,NA
"QTRT1","TAF4B",NA,NA,NA
"TIMM29","RNF138",NA,NA,NA
"ECSIT","MAPRE2",NA,NA,NA
"ACP5","ZNF397",NA,NA,NA
"JUNB","RPRD1A",NA,NA,NA
"PRDX2","ELP2",NA,NA,NA
"GCDH","ATP5F1A",NA,NA,NA
"TRMT1","CXXC1",NA,NA,NA
"MRI1","MBD2",NA,NA,NA
"RFX1","LMAN1",NA,NA,NA
"ADGRE5","ZCCHC2",NA,NA,NA
"PKN1","TIMM21",NA,NA,NA
"DNAJB1","CNDP2",NA,NA,NA
"RASAL3","ZNF407",NA,NA,NA
"AP1M1","TSHZ1",NA,NA,NA
"SMIM7","NFATC1",NA,NA,NA
"JAK3","GZMM",NA,NA,NA
"RPL18A","MED16",NA,NA,NA
"ARRDC2","ARID3A",NA,NA,NA
"MAST3","TMEM259",NA,NA,NA
"PGPEP1","ABCA7",NA,NA,NA
"SSBP4","ARHGAP45",NA,NA,NA
"HOMER3","MKNK2",NA,NA,NA
"ARMC6","MOB3A",NA,NA,NA
"NR2C2AP","SPPL2B",NA,NA,NA
"MAU2","LMNB2",NA,NA,NA
"NDUFA13","SLC39A3",NA,NA,NA
"PBX4","SGTA",NA,NA,NA
"ZNF14","THOP1",NA,NA,NA
"ZNF708","GNA15",NA,NA,NA
"POP4","S1PR4",NA,NA,NA
"PLEKHF1","NFIC",NA,NA,NA
"URI1","CACTIN",NA,NA,NA
"LSM14A","MATK",NA,NA,NA
"UBA2","ZBTB7A",NA,NA,NA
"CD22","TICAM1",NA,NA,NA
"PSENEN","SAFB",NA,NA,NA
"HCST","MICOS13",NA,NA,NA
"TYROBP","DUS3L",NA,NA,NA
"SPINT2","CLPP",NA,NA,NA
"FAM98C","DENND1C",NA,NA,NA
"ACTN4","TNFSF14",NA,NA,NA
"ECH1","GPR108",NA,NA,NA
"SIRT2","ARHGEF18",NA,NA,NA
"MRPS12","MCOLN1",NA,NA,NA
"ZFP36","FCER2",NA,NA,NA
"PLEKHG2","ZNF558",NA,NA,NA
"AKT2","ZNF559",NA,NA,NA
"DMAC2","EIF3G",NA,NA,NA
"CD79A","CDC37",NA,NA,NA
"ARHGEF1","PDE4A",NA,NA,NA
"GSK3A","S1PR5",NA,NA,NA
"ERF","ATG4D",NA,NA,NA
"IRGQ","KRI1",NA,NA,NA
"KCNN4","SLC44A2",NA,NA,NA
"TRAPPC6A","QTRT1",NA,NA,NA
"VASP","TIMM29",NA,NA,NA
"PPP5C","LDLR",NA,NA,NA
"ARHGAP35","ACP5",NA,NA,NA
"TMEM160","JUNB",NA,NA,NA
"ZC3H4","PRDX2",NA,NA,NA
"SAE1","GCDH",NA,NA,NA
"BBC3","TRMT1",NA,NA,NA
"LIG1","MRI1",NA,NA,NA
"KDELR1","DCAF15",NA,NA,NA
"GRWD1","RFX1",NA,NA,NA
"RPL18","ADGRE5",NA,NA,NA
"DBP","PKN1",NA,NA,NA
"RUVBL2","DNAJB1",NA,NA,NA
"RPS11","RASAL3",NA,NA,NA
"PRMT1","AP1M1",NA,NA,NA
"TBC1D17","SMIM7",NA,NA,NA
"ATF5","MYO9B",NA,NA,NA
"POLD1","JAK3",NA,NA,NA
"SIGLEC17P","RPL18A",NA,NA,NA
"PPP2R1A","MAST3",NA,NA,NA
"MYADM","IFI30",NA,NA,NA
"RPS9","PGPEP1",NA,NA,NA
"LILRB1","SSBP4",NA,NA,NA
"ZNF787","HOMER3",NA,NA,NA
"ZSCAN18","ARMC6",NA,NA,NA
"TRIB3","NR2C2AP",NA,NA,NA
"RBCK1","MAU2",NA,NA,NA
"MRPS26","GATAD2A",NA,NA,NA
"CENPB","NDUFA13",NA,NA,NA
"TRMT6","PBX4",NA,NA,NA
"SNRPB2","ZNF14",NA,NA,NA
"RALGAPA2","POP4",NA,NA,NA
"CD93","URI1",NA,NA,NA
"ACSS1","LSM14A",NA,NA,NA
"ENTPD6","UBA2",NA,NA,NA
"ABHD12","CD22",NA,NA,NA
"TM9SF4","PSENEN",NA,NA,NA
"ASXL1","HCST",NA,NA,NA
"EIF2S2","TYROBP",NA,NA,NA
"CEP250","KCNK6",NA,NA,NA
"TGIF2","FAM98C",NA,NA,NA
"SAMHD1","ACTN4",NA,NA,NA
"RPN2","ECH1",NA,NA,NA
"BLCAP","SIRT2",NA,NA,NA
"RPRD1B","NFKBIB",NA,NA,NA
"PPP1R16B","MRPS12",NA,NA,NA
"PLCG1","AKT2",NA,NA,NA
"YWHAB","SERTAD1",NA,NA,NA
"PCIF1","DMAC2",NA,NA,NA
"NCOA3","ARHGEF1",NA,NA,NA
"STAU1","GSK3A",NA,NA,NA
"B4GALT5","ERF",NA,NA,NA
"RNF114","IRGQ",NA,NA,NA
"PTPN1","KCNN4",NA,NA,NA
"CSTF1","PVR",NA,NA,NA
"SYCP2","MARK4",NA,NA,NA
"MTG2","TRAPPC6A",NA,NA,NA
"PPDPF","FOSB",NA,NA,NA
"STMN3","VASP",NA,NA,NA
"APP","PPP5C",NA,NA,NA
"USP16","ARHGAP35",NA,NA,NA
"SYNJ1","TMEM160",NA,NA,NA
"IFNAR2","ZC3H4",NA,NA,NA
"IFNAR1","SAE1",NA,NA,NA
"TMEM50B","BBC3",NA,NA,NA
"SON","LIG1",NA,NA,NA
"DYRK1A","EMP3",NA,NA,NA
"MX2","KDELR1",NA,NA,NA
"UBASH3A","GRWD1",NA,NA,NA
"RRP1B","RPL18",NA,NA,NA
"AGPAT3","RUVBL2",NA,NA,NA
"IL17RA","RPS11",NA,NA,NA
"ATP6V1E1","BCL2L12",NA,NA,NA
"TANGO2","PRMT1",NA,NA,NA
"TRMT2A","TBC1D17",NA,NA,NA
"MED15","ATF5",NA,NA,NA
"YDJC","POLD1",NA,NA,NA
"MAPK1","SIGLEC17P",NA,NA,NA
"BCR","ETFB",NA,NA,NA
"HPS4","PPP2R1A",NA,NA,NA
"MIAT","MYADM",NA,NA,NA
"XBP1","RPS9",NA,NA,NA
"ZMAT5","LILRB1",NA,NA,NA
"UQCR10","ZNF787",NA,NA,NA
"TBC1D10A","ZNF550",NA,NA,NA
"PIK3IP1","ZSCAN18",NA,NA,NA
"DRG1","TRIB3",NA,NA,NA
"SFI1","MRPS26",NA,NA,NA
"HMGXB4","CENPB",NA,NA,NA
"MCM5","MAVS",NA,NA,NA
"IL2RB","TRMT6",NA,NA,NA
"ANKRD54","RRBP1",NA,NA,NA
"EIF3L","RALGAPA2",NA,NA,NA
"PICK1","CD93",NA,NA,NA
"DDX17","ENTPD6",NA,NA,NA
"SUN2","ABHD12",NA,NA,NA
"CBX6","TM9SF4",NA,NA,NA
"RPL3","ASXL1",NA,NA,NA
"MIEF1","EIF2S2",NA,NA,NA
"TNRC6B","CEP250",NA,NA,NA
"SLC25A17","RBM12",NA,NA,NA
"ST13","TGIF2",NA,NA,NA
"EP300","SAMHD1",NA,NA,NA
"POLR3H","RPN2",NA,NA,NA
"DESI1","BLCAP",NA,NA,NA
"XRCC6","RPRD1B",NA,NA,NA
"SREBF2","PPP1R16B",NA,NA,NA
"TTLL12","PLCG1",NA,NA,NA
"SAMM50","ADA",NA,NA,NA
"PRR5","YWHAB",NA,NA,NA
"KIAA0930","PCIF1",NA,NA,NA
"ATXN10","ELMO2",NA,NA,NA
"TTC38","NCOA3",NA,NA,NA
"TUBGCP6","STAU1",NA,NA,NA
"PPP6R2","B4GALT5",NA,NA,NA
"LMF2","RNF114",NA,NA,NA
"ASMTL","PTPN1",NA,NA,NA
"P2RY8","CSTF1",NA,NA,NA
"TLR7","ZBP1",NA,NA,NA
"TLR8","MTG2",NA,NA,NA
"PHKA2","GID8",NA,NA,NA
"SH3KBP1","PPDPF",NA,NA,NA
"CYBB","STMN3",NA,NA,NA
"DDX3X","SLC2A4RG",NA,NA,NA
"USP11","APP",NA,NA,NA
"ARAF","RWDD2B",NA,NA,NA
"PQBP1","USP16",NA,NA,NA
"OTUD5","SYNJ1",NA,NA,NA
"MAGED1","IFNAR2",NA,NA,NA
"TSPYL2","IFNAR1",NA,NA,NA
"KDM5C","TMEM50B",NA,NA,NA
"APEX2","SON",NA,NA,NA
"UBQLN2","CRYZL1",NA,NA,NA
"SPIN3","DYRK1A",NA,NA,NA
"LINC01278","MX2",NA,NA,NA
"PJA1","UBASH3A",NA,NA,NA
"IGBP1","RRP1B",NA,NA,NA
"MED12","AGPAT3",NA,NA,NA
"NLGN3","S100B",NA,NA,NA
"PGK1","IL17RA",NA,NA,NA
"DIAPH2","ATP6V1E1",NA,NA,NA
"TRMT2B","TANGO2",NA,NA,NA
"RPL39","TRMT2A",NA,NA,NA
"NKAP","MED15",NA,NA,NA
"XIAP","YDJC",NA,NA,NA
"TENM1","MAPK1",NA,NA,NA
"SASH3","HPS4",NA,NA,NA
"RBMX2","MIAT",NA,NA,NA
"PABIR2","XBP1",NA,NA,NA
"MMGT1","ZMAT5",NA,NA,NA
"ARHGEF6","UQCR10",NA,NA,NA
"ATP11C","TBC1D10A",NA,NA,NA
"FMR1","PIK3IP1",NA,NA,NA
"BCAP31","DRG1",NA,NA,NA
"MECP2","SFI1",NA,NA,NA
"RPL10","HMGXB4",NA,NA,NA
"F8A1","MCM5",NA,NA,NA
"FUNDC2","IL2RB",NA,NA,NA
NA,"ANKRD54",NA,NA,NA
NA,"EIF3L",NA,NA,NA
NA,"PICK1",NA,NA,NA
NA,"DDX17",NA,NA,NA
NA,"JOSD1",NA,NA,NA
NA,"SUN2",NA,NA,NA
NA,"CBX6",NA,NA,NA
NA,"RPL3",NA,NA,NA
NA,"MIEF1",NA,NA,NA
NA,"ATF4",NA,NA,NA
NA,"TNRC6B",NA,NA,NA
NA,"SLC25A17",NA,NA,NA
NA,"ST13",NA,NA,NA
NA,"EP300",NA,NA,NA
NA,"POLR3H",NA,NA,NA
NA,"DESI1",NA,NA,NA
NA,"XRCC6",NA,NA,NA
NA,"SREBF2",NA,NA,NA
NA,"TTLL12",NA,NA,NA
NA,"SAMM50",NA,NA,NA
NA,"PRR5",NA,NA,NA
NA,"KIAA0930",NA,NA,NA
NA,"ATXN10",NA,NA,NA
NA,"TTC38",NA,NA,NA
NA,"TUBGCP6",NA,NA,NA
NA,"ASMTL",NA,NA,NA
NA,"P2RY8",NA,NA,NA
NA,"TLR7",NA,NA,NA
NA,"TLR8",NA,NA,NA
NA,"PHKA2",NA,NA,NA
NA,"SH3KBP1",NA,NA,NA
NA,"CYBB",NA,NA,NA
NA,"MID1IP1",NA,NA,NA
NA,"DDX3X",NA,NA,NA
NA,"USP11",NA,NA,NA
NA,"ARAF",NA,NA,NA
NA,"OTUD5",NA,NA,NA
NA,"PRAF2",NA,NA,NA
NA,"MAGED1",NA,NA,NA
NA,"TSPYL2",NA,NA,NA
NA,"KDM5C",NA,NA,NA
NA,"HUWE1",NA,NA,NA
NA,"APEX2",NA,NA,NA
NA,"UBQLN2",NA,NA,NA
NA,"SPIN3",NA,NA,NA
NA,"LINC01278",NA,NA,NA
NA,"PJA1",NA,NA,NA
NA,"IGBP1",NA,NA,NA
NA,"NLGN3",NA,NA,NA
NA,"DIAPH2",NA,NA,NA
NA,"TRMT2B",NA,NA,NA
NA,"HNRNPH2",NA,NA,NA
NA,"TMEM164",NA,NA,NA
NA,"RPL39",NA,NA,NA
NA,"NKAP",NA,NA,NA
NA,"XIAP",NA,NA,NA
NA,"TENM1",NA,NA,NA
NA,"SASH3",NA,NA,NA
NA,"RBMX2",NA,NA,NA
NA,"ENOX2",NA,NA,NA
NA,"MMGT1",NA,NA,NA
NA,"ARHGEF6",NA,NA,NA
NA,"FMR1",NA,NA,NA
NA,"BCAP31",NA,NA,NA
NA,"MECP2",NA,NA,NA
NA,"RPL10",NA,NA,NA
NA,"FUNDC2",NA,NA,NA
